區名,面積,下轄,下轄,人口數,人口密度,郵遞區號
東區,13.4156,45,875,"186,114","13,873",701
南區,27.2681,37,624,"124,845","4,578",702
北區,10.434,33,557,"131,940","12,645",704
安南區,107.2016,51,856,"193,102","1,801",709
安平區,11.0663,13,296,"66,669","6,025",708
中西區,6.26,20,392,"77,992","12,459",700
新營區,38.5386,23,412,"77,666","2,015",730
鹽水區,52.2455,13,146,"25,427",487,737
白河區,126.4046,21,213,"28,175",223,732
柳營區,61.2929,13,146,"21,219",346,736
後壁區,72.2189,14,142,"23,470",325,731
東山區,124.9178,16,193,"20,883",167,733
麻豆區,53.9744,20,239,"44,337",821,721
下營區,33.5291,12,167,"23,969",715,735
六甲區,67.5471,11,155,"22,202",329,734
官田區,70.7953,10,139,"21,355",302,720
大內區,70.3125,10,85,"9,652",137,742
佳里區,38.9422,16,257,"59,128","1,518",722
學甲區,53.9919,13,154,"25,743",477,726
西港區,33.7666,12,151,"24,735",733,723
七股區,110.1492,18,154,"22,849",207,724
將軍區,41.9796,12,124,"19,697",469,725
北門區,44.1003,10,85,"11,100",252,727
新化區,62.0579,16,185,"43,539",702,712
善化區,55.3097,20,240,"48,857",883,741
新市區,47.8096,11,174,"36,821",770,744
安定區,31.27,13,144,"30,545",977,745
山上區,27.878,7,64,"7,337",263,743
玉井區,76.3662,10,103,"14,038",184,714
楠西區,109.6316,7,77,"9,595",88,715
南化區,171.5198,9,65,"8,747",51,716
左鎮區,74.9025,10,67,"4,813",64,713
仁德區,50.7664,16,303,"75,773","1,493",717
歸仁區,55.7913,21,312,"68,404","1,226",711
關廟區,53.6413,15,209,"34,391",641,718
龍崎區,64.0814,8,53,"4,000",62,719
永康區,40.2753,43,"1,091","234,907","5,833",710
